Command,Description,Syntax,Parameters,Link,Category,Tags
function,Define Function Macros,Not Available,Not Available,https://ss64.com/bash/function.html,System Utility ,Macro
fuser,Identify/kill the process that is accessing a file," fuser [-a|-s|-c] [-4|-6] [-n <i>space</i> ] [-k [-i] [-<i>signal</i> ] ] [-muvf] <i>name</i>
 fuser -l
 fuser -V 
",Not Available,https://ss64.com/bash/fuser.html,System Administration,Process management
gawk,Find and Replace text within file(s)," awk &lt;<i>options</i>&gt; '<i>Program</i>' <i>Input-File1 Input-File2</i> ...
 awk -f <i>PROGRAM-FILE</i> &lt;<i>options</i>&gt; <i>Input-File1 Input-File2</i> ...
"," -F <i>FS</i>
 --field-separator <i>FS</i>
 Use FS for the input field separator (the value of the '<i>FS</i>'
 predefined variable).
 -f <i>PROGRAM-FILE</i>
 --file <i>PROGRAM-FILE</i>
 Read the awk program source from the file <i>PROGRAM-FILE</i>, instead
 of from the first command line argument.
 -mf<i> NNN</i>
 -mr<i> NNN</i>
 The 'f' flag sets the maximum number of fields, and the 'r' flag
 sets the maximum record size. These options are ignored by
 'gawk', since 'gawk' has no predefined limits; they are only for
 compatibility with the Bell Labs research version of Unix awk.
 -v <i>VAR</i>=<i>VAL</i>
 --assign <i>VAR</i>=<i>VAL</i>
 Assign the variable <i>VAR</i> the value <i>VAL</i> before program execution
 begins.
 -W traditional
 -W compat
 --traditional
 --compat
 Use compatibility mode, in which 'gawk' extensions are turned off.
 -W lint
 --lint
 Give warnings about dubious or non-portable awk constructs.
 -W lint-old
 --lint-old
 Warn about constructs that are not available in the original
 Version 7 Unix version of awk.
 -W posix
 --posix
 Use POSIX compatibility mode, in which 'gawk' extensions are
 turned off and additional restrictions apply.
 -W re-interval
 --re-interval
 Allow interval expressions, in regexps.
 -W source=<i>PROGRAM-TEXT</i>
 --source <i>PROGRAM-TEXT</i>
 Use PROGRAM-TEXT as awk program source code. This option allows
 mixing command line source code with source code from files, and is
 particularly useful for mixing command line programs with library
 functions.
 --
 Signal the end of options. This is useful to allow further
 arguments to the awk program itself to start with a '-'. This
 is mainly for consistency with POSIX argument parsing conventions.
 '<i>Program</i>'
 A series of patterns and actions: see below
",https://ss64.com/bash/awk.html,System Utility ,
getopts,Parse positional parameters," getopts <i>optstring</i> <i>name</i> [<i>args</i>]
",Not Available,https://ss64.com/bash/getopts.html,System Utility ,
getfacl,Get file access control lists," getfacl [-aceEsRLPtpndvh] <i>file</i> ...
 getfacl [-aceEsRLPtpndvh] - 
"," -a, --access
 Display the file access control list.
 -d, --default
 Display the default access control list.
 -c, --omit-header
 Do not display the comment header (the first three lines of each file's output).
 -e, --all-effective
 Print all effective rights comments, even if identical to the rights defined by the ACL entry.
 -E, --no-effective
 Do not print effective rights comments.
 -s, --skip-base
 Skip files that only have the base ACL entries (owner, group, others).
 -R, --recursive
 List the ACLs of all files and directories recursively.
 -L, --logical
 Logical walk, follow symbolic links to directories.
 The default behavior is to follow symbolic link arguments, and skip symbolic links encountered in subdirectories.
 Only effective in combination with -R.
 -P, --physical
 Physical walk, do not follow symbolic links to directories.
 This also skips symbolic link arguments. Only effective in combination with -R.
 -t, --tabular
 Use an alternative tabular output format. The ACL and the default ACL are displayed side by side.
 Permissions that are ineffective due to the ACL mask entry are displayed capitalized.
 The entry tag names for the ACL_USER_OBJ and ACL_GROUP_OBJ entries are also displayed in capital letters,
 which helps in spotting those entries.
 -p, --absolute-names
 Do not strip leading slash characters ('/'). The default behavior is to strip leading slash characters.
 -n, --numeric
 List numeric user and group IDs.
 -v, --version
 Print the version of getfacl and exit.
 -h, --help
 Print help explaining the command line options.
 -- End of command line options.
 All remaining parameters are interpreted as file names, even if they start with a dash character.
 - If the file name parameter is a single dash character, getfacl reads a list of files from standard input.
",https://ss64.com/bash/getfacl.html,"Enumeration, Networking",
grep,Search file(s) for lines that match a given pattern," grep [<i>options</i>] <i>PATTERN</i> [<i>FILE</i>...]
",Not Available,https://ss64.com/bash/grep.html,System Utility ,Search
groupadd,Add a user security group," groupadd [options] <i>group</i> </pre>
",Not Available,https://ss64.com/bash/groupadd.html,System Administration,User/Group Management
groupdel,Delete a group," groupdel <i>group</i> </pre>
",Not Available,https://ss64.com/bash/groupdel.html,System Administration,User/Group Management
groupmod,Modify a group," groupmod [<i>options</i>] <i>GROUP</i> </pre>
",Not Available,https://ss64.com/bash/groupmod.html,System Administration,User/Group Management
groups,Print group names a user is in," groups [<i>username</i>]...</pre>
",Not Available,https://ss64.com/bash/groups.html,System Administration,User/Group Management
gzip,Compress or decompress named file(s)," gzip <i>options</i> ...
",Not Available,https://ss64.com/bash/gzip.html,File Manipulation,File Compression
hash,Remember the full pathname of a name argument," hash [-r] [-p <i>filename</i>] [<i>name</i>] 
",Not Available,https://ss64.com/bash/hash.html,System Utility,
head,Output the first part of file(s)," head [<i>options</i>]... [<i>file</i>]...
",Not Available,https://ss64.com/bash/head.html,System Utility,
help,Display help for a built-in command •,Not Available,Not Available,No link available,System Utility,
history,Command History," history 
 history [n]
 history -c
 history -d <i>offset</i>
 history [-anrw] [<i>filename</i>]
 history -ps <i>arg</i>
"," -c Clear the history list. This can be combined with the other
 options to replace the history list completely.
 -d offset 
 Delete the history entry at position offset. 
 offset should be specified as it appears when the history is displayed. 
 -a Append the new history lines (history lines entered since 
 the beginning of the current Bash session) to the history file. 
 -n Append the history lines not already read from the history file 
 to the current history list. These are lines appended to the 
 history file since the beginning of the current Bash session. 
 -r Read the current history file and append its contents to the history list. 
 -w Write out the current history to the history file. 
 -p Perform history substitution on the args and display the result 
 on the standard output, without storing the results in the history list. 
 -s The args are added to the end of the history list as a single entry. 
 </pre>
",https://ss64.com/bash/history.html,System Utility,
hostname,Print or set system name," hostname [<i>name</i>]
",Not Available,https://ss64.com/bash/hostname.html,Enumeration,
htop,Interactive process viewer," htop <i>options</i>
",Not Available,https://ss64.com/bash/htop.html,System Administration,Process management
iconv,Convert the character set of a file," iconv [<i>Option...</i>] -f <i>encoding</i> -t <i>encoding inputfile</i> 
 iconv -l
",Not Available,https://ss64.com/bash/iconv.html,File Manipulation,
id,Print user and group id's," id [<i>options</i>]... [<i>username</i>]
",Not Available,https://ss64.com/bash/id.html,Enumeration,
if,Conditionally perform a command," <b>if</b> <i><a href=""test.html"">test-commands</a></i>; then
 <i>consequent-commands</i><b>;</b>
 [<b>elif</b> <i><a href=""test.html"">more-test-commands</a></i><b>;</b> then
 <i>more-consequents</i>;]
 [<b>else</b> <i>alternate-consequents</i>;]
 <b>fi</b>
",Not Available,https://ss64.com/bash/if.html,System Administration,Process management
ifconfig,Configure a network interface," ifconfig [<i>interface</i>]
 ifconfig <i>interface</i> [<i>aftype</i>] <i>options</i> | <i>address </i>...
",Not Available,https://ss64.com/bash/ifconfig.html,"Enumeration, Networking",
ifdown,Stop a network interface," ifup [<i>options</i>] -a | <i>IFACE</i>...
 
 ifdown [<i>options</i>] -a|IFACE...
",Not Available,https://ss64.com/bash/ifup.html,Networking,
ifup,Start a network interface up," ifup [<i>options</i>] -a | <i>IFACE</i>...
 
 ifdown [<i>options</i>] -a|IFACE...
",Not Available,https://ss64.com/bash/ifup.html,Networking,
import,Capture an X server screen and save the image to file," import [ <i>options</i> ... ] [ file ]
",Not Available,https://ss64.com/bash/import.html,File Manipulation,
install,Copy files and set attributes," install [<i>options</i>]... <i>SOURCE DEST</i>
 install [<i>options</i>]... <i>SOURCE</i>... <i>DIRECTORY</i>
 install -d [<i>options</i>]... <i>DIRECTORY</i>...
",Not Available,https://ss64.com/bash/install.html,System Administration,
iostat,Report CPU and i/o statistics," iostat [<i>option(s)</i>] [ <i>device</i> [...] | ALL ]
 [ -p [ <i>device</i> [,...] | ALL ] ] [ <i>interval</i> [ <i>count</i> ] ]
",Not Available,https://ss64.com/bash/iostat.html,Enumeration,
ip,"Routing, devices and tunnels"," <b>ip</b> [ <i>OPTIONS</i> ] <i>OBJECT</i> { <i>COMMAND</i> | help }
 <i>OBJECT</i> := { link | addr | addrlabel | route | rule | neigh | tunnel | maddr | mroute | monitor }
 <i>OPTIONS</i> := { -V[ersion] | -s[tatistics] | -r[esolve] | -f[amily] { inet | inet6 | ipx | dnet | link } | -o[neline] }
 <b><a href=""ip-link-set.html"">ip link set</a></b> <i>DEVICE</i> { up | down | arp { on | off } |
 promisc { on | off } | allmulticast { on | off } |
 dynamic { on | off } | multicast { on | off } |
 txqueuelen <i>PACKETS</i> | name <i>NEWNAME</i> |
 address <i>LLADDR</i> | broadcast <i>LLADDR</i> | mtu <i>MTU</i> | netns <i>PID</i> | 
 alias <i>NAME </i>| vf <i>NUM </i>[ mac <i>LLADDR</i> ] [ vlan <i>VLANID</i> [ qos <i>VLAN-QOS</i> ] ] [ rate <i>TXRATE</i> ] }
 <b>ip link show</b> [ <i>DEVICE</i> ]
 dev <i>NAME</i> (default) - <i>NAME</i> specifies the network device to show.
 If this argument is omitted all devices are listed.
 up - Only display running interfaces, e.g. $ ip link ls up 
 <b><a href=""ip-address.html"">ip address</a></b> { add | del } <i>IFADDR</i> dev <i>STRING</i>
 <b><a href=""ip-address-show.html"">ip address</a></b> { show | flush } [ dev <i>STRING</i> ] [ scope <i>SCOPE-ID</i> ] [ to <i>PREFIX</i> ] [ <i>FLAG-LIST</i> ] [ label <i>PATTERN</i> ]
 IFADDR := <i>PREFIX</i> | <i>ADDR</i> peer <i>PREFIX</i> [ broadcast <i>ADDR</i> ] [ anycast <i>ADDR</i> ] [ label <i>STRING</i> ] [ scope <i>SCOPE-ID</i> ]
 SCOPE-ID := [ host | link | global | <i>NUMBER</i> ]
 FLAG-LIST := [ <i>FLAG-LIST</i> ] <i>FLAG</i>
 FLAG := [ permanent | dynamic | secondary | primary | tentative | deprecated ]
 <b><a href=""ip-addrlabel.html"">ip addrlabel</a></b> { add | del } prefix <i>PREFIX</i> [ dev <i>DEV</i> ] [ label <i>NUMBER</i> ]
 <b><a href=""ip-addrlabel.html"">ip addrlabel</a></b> { list | flush }
 <b><a href=""ip-route.html"">ip route</a></b> { list | flush } <i>SELECTOR</i>
 <b><a href=""ip-route.html"">ip route get</a></b> <i>ADDRESS</i> [ from <i>ADDRESS</i> iif <i>STRING</i> ] [ oif <i>STRING</i> ] [ tos <i>TOS</i> ]
 <b><a href=""ip-route.html"">ip route</a></b> { add | del | change | append | replace | monitor } <i>ROUTE</i>
 SELECTOR := [ root <i>PREFIX</i> ] [ match <i>PREFIX</i> ] [ exact <i>PREFIX</i> ] [ table <i>TABLE_ID</i> ]
 [ proto <i>RTPROTO</i> ] [ type <i>TYPE</i> ] [ scope <i>SCOPE</i> ]
 ROUTE := NODE_SPEC [ <i>INFO_SPEC</i> ]
 NODE_SPEC := [ <i>TYPE</i> ] <i>PREFIX</i> [ tos <i>TOS</i> ] [ table <i>TABLE_ID</i> ] [ proto <i>RTPROTO</i> ] [ scope <i>SCOPE</i> ] [ metric <i>METRIC</i> ]
 INFO_SPEC := <i>NH OPTIONS FLAGS</i> [ nexthop <i>NH</i> ] ...
 NH := [ via <i>ADDRESS</i> ] [ dev <i>STRING</i> ] [ weight <i>NUMBER</i> ] <i>NHFLAGS</i>
 OPTIONS := <i>FLAGS</i> [ mtu <i>NUMBER</i> ] [ advmss <i>NUMBER</i> ] [ rtt <i>TIME</i> ] [ rttvar <i>TIME</i> ]
 [ window <i>NUMBER</i> ] [ cwnd <i>NUMBER</i> ] [ initcwnd <i>NUMBER</i> ] [ ssthresh <i>REALM</i> ]
 [ realms <i>REALM</i> ] [ rto_min <i>TIME</i> ] [ initrwnd <i>NUMBER</i> ]
 TYPE := [ unicast | local | broadcast | multicast | throw | unreachable | prohibit | blackhole | nat ]
 TABLE_ID := [ local| main | default | all | <i>NUMBER</i> ]
 SCOPE := [ host | link | global | <i>NUMBER</i> ]
 FLAGS := [ equalize ]
 NHFLAGS := [ onlink | pervasive ]
 RTPROTO := [ kernel | boot | static | <i>NUMBER</i> ]
 <b><a href=""ip-rule.html"">ip rule</a></b> [ list | add | del | flush ] <i>SELECTOR</i> <i>ACTION</i>
 SELECTOR := [ from <i>PREFIX</i> ] [ to <i>PREFIX</i> ] [ tos <i>TOS</i> ] [ fwmark <i>FWMARK</i>[/<i>MASK</i>] ] [ dev <i>STRING</i> ] [ pref <i>NUMBER</i> ]
 ACTION := [ table <i>TABLE_ID</i> ] [ nat <i>ADDRESS</i> ] [ prohibit | reject | unreachable ] [ realms [<i>SRCREALM</i>/]<i>DSTREALM</i> ]
 TABLE_ID := [ local | main | default | <i>NUMBER</i> ]
 <b><a href=""ip-neighbour.html"">ip neighbour</a></b> { add | del | change | replace } { <i>ADDR</i> [ lladdr <i>LLADDR</i> ]
 [ nud { permanent | noarp | stale | reachable } ] | proxy <i>ADDR</i> } [ dev <i>DEV</i> ]
 <b><a href=""ip-neighbour.html"">ip neighbour</a></b> { show | flush } [ to <i>PREFIX</i> ] [ dev <i>DEV</i> ] [ nud <i>STATE</i> ]
 <b><a href=""ip-tunnel.html"">ip tunnel</a></b> { add | change | del | show | prl } [ <i>NAME</i> ] [ mode <i>MODE </i>] [ remote <i>ADDR </i>]
 [ local <i>ADDR</i> ] [ [i|o]seq ] [ [i|o]key <i>KEY </i>] [ [i|o]csum ] ] [ encaplimit <i>ELIM </i>] [ ttl <i>TTL </i>]
 [ tos <i>TOS</i> ] [ flowlabel <i>FLOWLABEL </i>] [ prl-default <i>ADDR </i>] [ prl-nodefault <i>ADDR </i>] [ prl-delete <i>ADDR</i> ]
 [ [no]pmtudisc ] [ dev <i>PHYS_DEV</i> ] [ dscp inherit ]
 MODE := { ipip | gre | sit | isatap | ip6ip6 | ipip6 | any }
 ADDR := { <i>IP_ADDRESS</i> | any }
 TOS := { <i>NUMBER</i> | inherit }
 ELIM := { none | 0..255 }
 TTL := { 1..255 | inherit }
 KEY := { <i>DOTTED_QUAD</i> | <i>NUMBER</i> }
 TIME := NUMBER[s|ms|us|ns|j]
 <b><a href=""ip-maddress.html"">ip maddr</a></b> [ add | del ] <i>MULTIADDR</i> dev <i>STRING</i>
 <b><a href=""ip-maddress.html"">ip maddr show</a></b> [ dev STRING ]
 <b><a href=""ip-mroute.html"">ip mroute show</a></b> [ <i>PREFIX</i> ] [ from <i>PREFIX</i> ] [ iif <i>DEVICE</i> ]
 <b><a href=""ip-monitor.html"">ip monitor</a></b> [ all | <i>LISTofOBJECTS</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm</a></b> <i>XFRM_OBJECT</i> { <i>COMMAND</i> }
 XFRM_OBJECT := { state | policy | monitor }
 <b><a href=""ip-xfrm.html"">ip xfrm state</a></b> { add | update } ID [ <i>XFRM_OPT</i> ] [ mode <i>MODE</i> ] [ reqid <i>REQID </i>] [ seq <i>SEQ </i>] [ replay-window <i>SIZE</i> ]
 [ flag <i>FLAG-LIST</i> ] [ encap <i>ENCAP</i> ] [ sel <i>SELECTOR</i> ] [ <i>LIMIT-LIST </i>]
 <b><a href=""ip-xfrm.html"">ip xfrm state allocspi</a></b> ID [ mode <i>MODE</i> ] [ reqid <i>REQID</i> ] [ seq <i>SEQ</i> ] [ min <i>SPI</i> max <i>SPI</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm state</a></b> { delete | get } <i>ID</i>
 <b><a href=""ip-xfrm.html"">ip xfrm state</a></b> { deleteall | list } [ <i>ID</i> ] [ mode <i>MODE</i> ] [ reqid <i>REQID </i>] [ flag <i>FLAG_LIST</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm state flush</a></b> [ proto <i>XFRM_PROTO</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm state count</a></b>
 ID := [ src <i>ADDR</i> ] [ dst <i>ADDR</i> ] [ proto <i>XFRM_PROTO</i> ] [ spi SPI ]
 XFRM_PROTO := [ esp | ah | comp | route2 | hao ]
 MODE := [ transport | tunnel | ro | beet ] (default=transport)
 FLAG-LIST := [ <i>FLAG-LIST</i> ] <i>FLAG</i>
 FLAG := [ noecn | decap-dscp | wildrecv ]
 ENCAP := <i>ENCAP-TYPE SPORT DPORT OADDR</i>
 ENCAP-TYPE := espinudp | espinudp-nonike
 ALGO-LIST := [ <i>ALGO-LIST</i> ] | [ <i>ALGO</i> ]
 ALGO := <i>ALGO_TYPE ALGO_NAME ALGO_KEY</i>
 ALGO_TYPE := [ enc | auth | comp ]
 SELECTOR := src <i>ADDR</i>[/<i>PLEN</i>] dst <i>ADDR</i>[/<i>PLEN</i>] [ <i>UPSPEC</i> ] [ dev <i>DEV</i> ]
 UPSPEC := proto <i>PROTO</i> [[ sport <i>PORT</i> ] [ dport <i>PORT</i> ] | [ type <i>NUMBER</i> ] [ code <i>NUMBER</i> ]]
 LIMIT-LIST := [ <i>LIMIT-LIST</i> ] | [ limit <i>LIMIT</i> ]
 LIMIT := [ [time-soft|time-hard|time-use-soft|time-use-hard] SECONDS ] |
 [ [byte-soft|byte-hard] <i>SIZE</i> ] | [ [packet-soft|packet-hard] <i>COUNT</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm policy</a></b> { add | update } dir <i>DIR SELECTOR</i> [ index <i>INDEX</i> ]
 [ ptype <i>PTYPE</i> ] [ action <i>ACTION</i> ] [ priority <i>PRIORITY</i> ]
 [ <i>LIMIT-LIST</i> ] [ <i>TMPL-LIST</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm policy</a></b> { delete | get } dir <i>DIR</i> [ <i>SELECTOR</i> | index <i>INDEX</i> ] [ ptype <i>PTYPE</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm policy</a></b> { deleteall | list } [ dir <i>DIR</i> ] [ <i>SELECTOR</i> ] [ index <i>INDEX </i>]
 [ action <i>ACTION </i>] [ priority <i>PRIORITY </i>]
 <b><a href=""ip-xfrm.html"">ip xfrm policy flush</a></b> [ ptype <i>PTYPE</i> ]
 <b><a href=""ip-xfrm.html"">ip xfrm count</a></b>
 PTYPE := [ main | sub ] (default=main)
 DIR := [ in | out | fwd ]
 SELECTOR := src <i>ADDR</i>[/<i>PLEN</i>] dst <i>ADDR</i>[/<i>PLEN</i>] [ <i>UPSPEC</i> ] [ dev <i>DEV</i> ]
 UPSPEC := proto <i>PROTO</i> [ [ sport <i>PORT</i> ] [ dport <i>PORT</i> ] |
 [ type <i>NUMBER</i> ] [ code <i>NUMBER</i> ] ]
 ACTION := [ allow | block ] (default=allow)
 LIMIT-LIST := [ <i>LIMIT-LIST</i> ] | [ limit <i>LIMIT</i> ]
 LIMIT := [ [time-soft|time-hard|time-use-soft|time-use-hard] <i>SECONDS</i> ] |
 [ [byte-soft|byte-hard] <i>SIZE</i> ] | [packet-soft|packet-hard] <i>NUMBER</i> ]
 TMPL-LIST := [ <i>TMPL-LIST</i> ] | [ tmpl <i>TMPL</i> ]
 TMPL := ID [ mode <i>MODE</i> ] [ reqid <i>REQID</i> ] [ level <i>LEVEL</i> ]
 ID := [ src <i>ADDR</i> ] [ dst <i>ADDR</i> ] [ proto <i>XFRM_PROTO</i> ] [ spi <i>SPI</i> ]
 XFRM_PROTO := [ esp | ah | comp | route2 | hao ]
 MODE := [ transport | tunnel | beet ] (default=transport)
 LEVEL := [ required | use ] (default=required)
 <b><a href=""ip-xfrm.html"">ip xfrm monitor</a></b> [ all | <i>LISTofOBJECTS</i> ] 
",Not Available,https://ss64.com/bash/ip.html,Networking,
jobs,List active jobs &bull;," jobs [<i>OPTIONS</i>] [<i>PID</i>]
",Not Available,https://ss64.com/bash/jobs.html,"System Administration, Enumeration",
join,Join lines on a common field," join [<i>Options</i>]... <i>File1</i> <i>File2</i>
",Not Available,https://ss64.com/bash/join.html,File Manipulation,
kill,Kill a process by specifying its PID," kill [-s <i>sigspec</i>] [-n <i>signum</i>] [-<i>sigspec</i>] <i>jobspec</i> or <i>pid</i>
 kill -l [<i>exit_status</i>]
 kill -l [<i>sigspec</i>]
"," -l List the signal names
 -s Send a specific signal
 -n Send a specific signal number</pre>
",https://ss64.com/bash/kill.html,System Administration,Process management
killall,Kill processes by name," killall [<i>option(s)</i>] [--] <i>name</i> ...
 killall -l
 killall -V,--version 
",Not Available,https://ss64.com/bash/killall.html,System Administration,Process management
klist,List cached Kerberos tickets," klist [-e] [[-c] [-l] [-A] [-f] [-s] [-a [-n]]] [-k [-t] [-K]] [<i>cache_name</i> | <i>keytab_name</i>] 
"," 
 -e Display the encryption types of the session key and the ticket for each credential
 in the credential cache, or each key in the keytab file.
 -c List tickets held in a credentials cache. This is the default if neither -c nor -k is specified.
 -l If a cache collection is available, display a table summarizing the caches present in the collection.
 -A If a cache collection is available, displays the contents of all of the caches in the collection.
 -f Show the flags present in the credentials, using the following abbreviations:
 F Forwardable
 f forwarded
 P Proxiable
 p proxy
 D postDateable
 d postdated
 R Renewable
 I Initial
 i invalid
 H Hardware authenticated
 A preAuthenticated
 a anonymous
 T Transit policy checked
 O Okay as delegate
 -s Cause klist to run silently (produce no output), but to still set the exit status according
 to whether it finds the credentials cache.
 The exit status is '0' if klist finds a credentials cache, and '1' if it does not
 or if the tickets are expired.
 -a Display list of addresses in credentials.
 -n Show numeric addresses instead of reverse-resolving addresses.
 -k List keys held in a keytab file.
 -t Display the time entry timestamps for each keytab entry in the keytab file.
 -K Display the value of the encryption key in each keytab entry in the keytab file.
 -V Display the Kerberos version number and exit. </pre>
",https://ss64.com/bash/klist.html,Enumeration,Kerberos
less,Display output one screen at a time," <b>less</b> [<i>options</i>]
 <i>command</i> | <b>less</b> [<i>options</i>]</pre>
",Not Available,https://ss64.com/bash/less.html,System Utility,
let,Perform arithmetic on shell variables •," let <i>expression</i> [<i>expression</i>]</pre>
",Not Available,https://ss64.com/bash/let.html,System Utility,
link,Create a link to a file ," link <i>FILE1 FILE2</i>
 link <i>OPTION</i>
",Not Available,https://ss64.com/bash/link.html,File Manipulation,
ln,Create a symbolic link to a file," ln [OPTION]... [-T] <i>OriginalSourceFile NewLinkFile</i> (1st form)
 ln [OPTION]... <i>OriginalSourceFile </i> (2nd form)
 ln [OPTION]... <i>OriginalSourceFile</i>... <i>DIRECTORY</i> (3rd form)
 ln [OPTION]... -t <i>DIRECTORY OriginalSourceFile</i>... (4th form)
",Not Available,https://ss64.com/bash/ln.html,File Manipulation,
local,Create a function variable •,Not Available,Not Available,https://ss64.com/bash/local.html,System Utility ,Variable
locate,Find files," locate [<i>options</i>]<i> pattern</i>
",Not Available,https://ss64.com/bash/locate.html,System Utility ,Search
logname,Print current login name,Not Available,Not Available,https://ss64.com/bash/logname.html,"Logging, Enumeration",
logout,Exit a login shell •," logout [<i>n</i>]</pre>
",Not Available,https://ss64.com/bash/logout.html,System Utility ,
look,Display lines beginning with a given string," look [-df] [-t <i>termchar</i>] <i>string</i> [<i>file</i>]
 As look performs a binary search, the lines in <i>file</i> must be sorted.
",Not Available,https://ss64.com/bash/look.html,System Utility ,
lpc,Line printer control program," lpc [<i>command</i> [<i>argument</i> ...]]
",Not Available,https://ss64.com/bash/lpc.html,"System Administration, Printing",
lpr,Print files," lpr [-P<i>printer</i>] [-#<i>num</i>] [-C <i>class</i>] [-J <i>job</i>] [-T <i>title</i>] [-U <i>user</i>] [-i [<i>numcols</i>]]
 [-1234 <i>font</i>] [-w<i>num</i>] [-cdfghlnmprstv] [name ...]
"," -c The files are assumed to contain data produced by cifplot(1)
 -d The files are assumed to contain data from tex (DVI format from
 Stanford).
 -f Use a filter which interprets the first character of each line as
 a standard FORTRAN carriage control character.
 -g The files are assumed to contain standard plot data as produced
 by the plot routines (see also plot for the filters used by the
 printer spooler).
 -l Use a filter which allows control characters to be printed and
 suppresses page breaks.
 -n The files are assumed to contain data from ditroff (device independent
 troff).
 -p Use pr(1) to format the files (equivalent to print).
 -t The files are assumed to contain data from troff(1) (cat photo-
 typesetter commands).
 -v The files are assumed to contain a raster image for devices like
 the Benson Varian.
 These options apply to the handling of the print job:
 -P Force output to a specific printer. Normally, the default printer
 is used (site dependent), or the value of the environment
 variable PRINTER is used.
 -h Suppress the printing of the burst page.
 -m Send mail upon completion.
 -r Remove the file upon completion of spooling. Can not be used with
 the -s option, due to security concerns.
 -s Use symbolic links. Usually files are copied to the spool directory.
 The -s option will use symlink(2) to link data files
 rather than trying to copy them so large files can be printed.
 This means the files should not be modified or removed until they
 have been printed.
 The remaining options apply to copies, the page display, and headers:
 -#<i>num</i> The quantity num is the number of copies desired of each file
 named. For example,
 lpr -#3 foo.c bar.c more.c
 would result in 3 copies of the file foo.c, followed by 3 copies
 of the file bar.c, etc. On the other hand,
 cat foo.c bar.c more.c | lpr -#3
 will give three copies of the concatenation of the files. Often a
 site will disable this feature to encourage use of a photocopier
 instead.
 -[1234]<i>font</i>
 Specifies a font to be mounted on font position i. The daemon
 will construct a .railmag file referencing the font pathname.
 -C <i>class</i>
 Job classification to use on the burst page. For example,
 lpr -C EECS foo.c
 causes the system name (the name returned by hostname(1)) to be
 replaced on the burst page by EECS, and the file foo.c to be printed.
 -J <i>job</i> Job name to print on the burst page. Normally, the first file's name is used.
 -T <i>title</i>
 Title name for pr(1), instead of the file name.
 -U <i>user</i>
 User name to print on the burst page, also for accounting purposes.
 This option is only honored if the real user-id is daemon
 (or that specified in the printcap file instead of daemon), and
 is intended for those instances where print filters wish to requeue jobs.
 -i [<i>numcols</i>]
 The output is indented. If the next argument is numeric (<i>numcols</i>),
 it is used as the number of blanks to be printed before each line;
 otherwise, 8 characters are printed.
 -w<i>num</i> Uses <i>num</i> as the page width for pr(1).</pre>
",https://ss64.com/bash/lpr.html,"System Administration, Printing",
lprint,Print a file,Not Available,Not Available,No link available,"System Administration, Printing",
lprintd,Delete a print job,Not Available,Not Available,No link available,"System Administration, Printing",
lprintq,List the print queue,Not Available,Not Available,No link available,"System Administration, Printing",
lprm,Remove jobs from the print queue," lprm [-P<i>printer</i>] [-] [<i>job# </i>...] [<i>user</i> ...]
",Not Available,https://ss64.com/bash/lprm.html,"System Administration, Printing",
lsattr,List file attributes on a Linux second extended file system," lsattr [ -RVadv ] [ <i>files</i>... ]
"," -d List directories like other files, rather than listing their contents. -v 
 -R Recursively list attributes of directories and their contents.
 -V Display the program version.
 -a List all files in directories, including files that start with '.'
 -v <i></i> List the file's version/generation number.</pre>
",https://ss64.com/bash/lsattr.html,"File Manipulation, Enumeration",
lsblk,List block devices," lsblk [<i>options</i>] [<i>device</i>...]
",Not Available,https://ss64.com/bash/lsblk.html,Enumeration,
